Trial name,Date,Treatment,Replication,PDI_SB,PDI_PB,PDI_AN
Trial 6,13.10.2023,T2,R2,0,0,0
Trial 6,13.10.2023,T2,R3,0,0,8
Trial 6,13.10.2023,T3,R1,0,0,0
Trial 6,13.10.2023,T3,R2,0,0,0
Trial 6,13.10.2023,T3,R3,0,0,0
Trial 6,13.10.2023,T4,R1,0,0,0
Trial 6,13.10.2023,T4,R2,0,0,6
Trial 6,13.10.2023,T4,R3,0,0,8
Trial 6,13.10.2023,T5,R1,0,0,0
Trial 6,13.10.2023,T5,R2,0,0,0
Trial 6,13.10.2023,T5,R3,0,0,0
Trial 6,15.12.2023,T1,R1,42,10,64
Trial 6,15.12.2023,T1,R2,40,10,74
Trial 6,15.12.2023,T1,R3,46,14,68
Trial 6,15.12.2023,T2,R1,46,18,76
Trial 6,15.12.2023,T2,R2,40,10,74
Trial 6,15.12.2023,T2,R3,44,16,70
Trial 6,15.12.2023,T3,R1,48,16,52
Trial 6,15.12.2023,T3,R2,36,12,56
Trial 6,15.12.2023,T3,R3,50,16,54
Trial 6,15.12.2023,T4,R1,46,18,76
Trial 6,15.12.2023,T4,R2,46,18,76
Trial 6,15.12.2023,T4,R3,48,14,76
Trial 6,15.12.2023,T5,R1,42,12,60
Trial 6,15.12.2023,T5,R2,48,14,54
Trial 6,15.12.2023,T5,R3,44,18,56
Trial 6,17.10.2023,T1,R1,0,0,8
Trial 6,17.10.2023,T1,R2,0,0,8
Trial 6,17.10.2023,T1,R3,0,0,8
Trial 6,17.10.2023,T2,R1,2,0,6
Trial 6,17.10.2023,T2,R2,0,0,8
Trial 6,17.10.2023,T2,R3,0,0,8
Trial 6,17.10.2023,T3,R1,0,0,8
Trial 6,17.10.2023,T3,R2,0,0,8
Trial 6,17.10.2023,T3,R3,0,0,8
Trial 6,17.10.2023,T4,R1,0,0,8
Trial 6,17.10.2023,T4,R2,0,0,8
Trial 6,17.10.2023,T4,R3,0,0,8
Trial 6,17.10.2023,T5,R1,0,0,8
Trial 6,17.10.2023,T5,R2,0,0,6
Trial 6,17.10.2023,T5,R3,0,0,6
Trial 6,17.11.2023,T1,R1,2,0,42
Trial 6,17.11.2023,T1,R2,2,0,46
Trial 6,17.11.2023,T1,R3,4,0,40
Trial 6,17.11.2023,T2,R1,2,0,36
Trial 6,17.11.2023,T2,R2,4,0,42
Trial 6,17.11.2023,T2,R3,4,2,46
Trial 6,17.11.2023,T3,R1,2,0,48
Trial 6,17.11.2023,T3,R2,2,0,32
Trial 6,17.11.2023,T3,R3,6,0,36
Trial 6,17.11.2023,T4,R1,2,0,42
Trial 6,17.11.2023,T4,R2,4,2,46
Trial 6,17.11.2023,T4,R3,4,0,44
Trial 6,17.11.2023,T5,R1,4,0,40
Trial 6,17.11.2023,T5,R2,2,0,34
Trial 6,17.11.2023,T5,R3,6,0,42
Trial 6,19.12.2023,T1,R1,46,10,70
Trial 6,19.12.2023,T1,R2,42,12,78
Trial 6,19.12.2023,T1,R3,50,18,76
Trial 6,19.12.2023,T2,R1,50,20,82
Trial 6,19.12.2023,T2,R2,44,12,80
Trial 6,19.12.2023,T2,R3,52,18,80
Trial 6,19.12.2023,T3,R1,54,18,54
Trial 6,19.12.2023,T3,R2,40,14,60
Trial 6,19.12.2023,T3,R3,50,16,56
Trial 6,19.12.2023,T4,R1,48,20,86
Trial 6,19.12.2023,T4,R2,48,20,86
Trial 6,19.12.2023,T4,R3,52,16,82
Trial 6,19.12.2023,T5,R1,44,16,64
Trial 6,19.12.2023,T5,R2,50,16,56
Trial 6,19.12.2023,T5,R3,48,18,56
Trial 6,20.10.2023,T1,R1,0,0,8
Trial 6,20.10.2023,T1,R2,0,0,8
Trial 6,20.10.2023,T1,R3,0,0,8
Trial 6,20.10.2023,T2,R1,0,0,6
Trial 6,20.10.2023,T2,R2,0,0,8
Trial 6,20.10.2023,T2,R3,0,0,10
Trial 6,20.10.2023,T3,R1,0,0,8
Trial 6,20.10.2023,T3,R2,0,0,8
Trial 6,20.10.2023,T3,R3,0,0,8
Trial 6,20.10.2023,T4,R1,0,0,8
Trial 6,20.10.2023,T4,R2,0,0,8
Trial 6,20.10.2023,T4,R3,0,0,8
Trial 6,20.10.2023,T5,R1,0,0,8
Trial 6,20.10.2023,T5,R2,0,0,6
Trial 6,20.10.2023,T5,R3,0,0,6
Trial 6,21.11.2023,T1,R1,8,2,48
Trial 6,21.11.2023,T1,R2,4,2,42
Trial 6,21.11.2023,T1,R3,6,2,44
Trial 6,21.11.2023,T2,R1,6,4,36
Trial 6,21.11.2023,T2,R2,6,4,44
Trial 6,21.11.2023,T2,R3,8,4,48
Trial 6,21.11.2023,T3,R1,2,0,38
Trial 6,21.11.2023,T3,R2,4,0,42
Trial 6,21.11.2023,T3,R3,6,4,38
Trial 6,21.11.2023,T4,R1,4,4,44
Trial 6,21.11.2023,T4,R2,6,6,52
Trial 6,21.11.2023,T4,R3,10,4,46
Trial 6,21.11.2023,T5,R1,8,2,36
Trial 6,21.11.2023,T5,R2,6,2,34
Trial 6,21.11.2023,T5,R3,6,2,38
Trial 6,23.10.2023,T1,R1,0,0,10
Trial 6,23.10.2023,T1,R2,0,0,10
Trial 6,23.10.2023,T1,R3,0,0,10
Trial 6,23.10.2023,T2,R1,0,0,8
Trial 6,23.10.2023,T2,R2,0,0,8
Trial 6,23.10.2023,T2,R3,0,0,10
Trial 6,23.10.2023,T3,R1,0,0,8
Trial 6,23.10.2023,T3,R2,0,0,8
Trial 6,23.10.2023,T3,R3,0,0,14
Trial 6,23.10.2023,T4,R1,0,0,0
Trial 6,23.10.2023,T4,R2,0,0,10
Trial 6,23.10.2023,T4,R3,0,0,10
Trial 6,23.10.2023,T5,R1,0,0,8
Trial 6,23.10.2023,T5,R2,0,0,8
Trial 6,23.10.2023,T5,R3,0,0,10
Trial 6,24.11.2023,T1,R1,8,4,52
Trial 6,24.11.2023,T1,R2,16,4,50
Trial 6,24.11.2023,T1,R3,14,4,54
Trial 6,24.11.2023,T2,R1,18,6,52
Trial 6,24.11.2023,T2,R2,16,6,54
Trial 6,24.11.2023,T2,R3,16,6,56
Trial 6,24.11.2023,T3,R1,10,2,40
Trial 6,24.11.2023,T3,R2,12,4,48
Trial 6,24.11.2023,T3,R3,16,4,40
Trial 6,24.11.2023,T4,R1,20,6,56
Trial 6,24.11.2023,T4,R2,12,8,58
Trial 6,24.11.2023,T4,R3,12,6,56
Trial 6,24.11.2023,T5,R1,12,4,46
Trial 6,24.11.2023,T5,R2,12,4,46
Trial 6,24.11.2023,T5,R3,14,4,42
Trial 6,27.10.2023,T1,R1,0,0,8
Trial 6,27.10.2023,T1,R2,0,0,12
Trial 6,27.10.2023,T1,R3,0,0,6
Trial 6,27.10.2023,T2,R1,0,0,8
Trial 6,27.10.2023,T2,R2,0,0,12
Trial 6,27.10.2023,T2,R3,0,0,10
Trial 6,27.10.2023,T3,R1,0,0,8
Trial 6,27.10.2023,T3,R2,0,0,8
Trial 6,27.10.2023,T3,R3,0,0,6
Trial 6,27.10.2023,T4,R1,0,0,8
Trial 6,27.10.2023,T4,R2,0,0,8
Trial 6,27.10.2023,T4,R3,0,0,10
Trial 6,27.10.2023,T5,R1,0,0,6
Trial 6,27.10.2023,T5,R2,0,0,12
Trial 6,27.10.2023,T5,R3,0,0,8
Trial 6,3.11.2023,T1,R1,0,0,20
Trial 6,3.11.2023,T1,R2,2,0,28
Trial 6,3.11.2023,T1,R3,2,0,18
Trial 6,3.11.2023,T2,R1,2,0,12
Trial 6,3.11.2023,T2,R2,2,0,22
Trial 6,3.11.2023,T2,R3,4,0,22
Trial 6,3.11.2023,T3,R1,2,0,10
Trial 6,3.11.2023,T3,R2,2,0,18
Trial 6,3.11.2023,T3,R3,4,0,22
Trial 6,3.11.2023,T4,R1,2,0,12
Trial 6,3.11.2023,T4,R2,2,0,20
Trial 6,3.11.2023,T4,R3,2,0,24
Trial 6,31.10.2023,T1,R1,0,0,16
Trial 6,31.10.2023,T1,R2,4,0,28
Trial 6,31.10.2023,T1,R3,0,0,16
Trial 6,31.10.2023,T2,R1,0,0,12
Trial 6,31.10.2023,T2,R2,2,0,18
Trial 6,31.10.2023,T2,R3,2,0,22
Trial 6,31.10.2023,T3,R1,4,0,8
Trial 6,31.10.2023,T3,R2,2,0,16
Trial 6,31.10.2023,T3,R3,0,0,16
Trial 6,31.10.2023,T4,R1,0,0,12
Trial 6,31.10.2023,T4,R2,4,0,18
Trial 6,31.10.2023,T4,R3,2,0,18
Trial 6,31.10.2023,T5,R1,0,0,22
Trial 6,31.10.2023,T5,R2,2,0,20
Trial 6,31.10.2023,T5,R3,0,0,18
Trial 6,5.12.2023,T1,R1,40,10,60
Trial 6,5.12.2023,T1,R2,26,6,56
Trial 6,5.12.2023,T1,R3,30,12,60
Trial 6,5.12.2023,T2,R1,40,10,60
